20162017,20172018,20182019,20192020,20202021,20212022,20222023,20232024
"{'jerseyNumber': 21, 'apiID': 8475098, 'name': 'Tyler Bozak', 'position': 'Center', 'firstName': 'Tyler', 'lastName': 'Bozak'}","{'jerseyNumber': 21, 'apiID': 8475098, 'name': 'Tyler Bozak', 'position': 'Center', 'firstName': 'Tyler', 'lastName': 'Bozak'}","{'jerseyNumber': 17, 'apiID': 8476410, 'name': 'Josh Leivo', 'position': 'Left Wing', 'firstName': 'Josh', 'lastName': 'Leivo'}","{'jerseyNumber': 44, 'apiID': 8476853, 'name': 'Morgan Rielly', 'position': 'Defenseman', 'firstName': 'Morgan', 'lastName': 'Rielly'}","{'jerseyNumber': 18, 'apiID': 8475844, 'name': 'Kenny Agostino', 'position': 'Left Wing', 'firstName': 'Kenny', 'lastName': 'Agostino'}","{'jerseyNumber': 44, 'apiID': 8476853, 'name': 'Morgan Rielly', 'position': 'Defenseman', 'firstName': 'Morgan', 'lastName': 'Rielly'}","{'jerseyNumber': 3, 'apiID': 8475718, 'name': 'Justin Holl', 'position': 'Defenseman', 'firstName': 'Justin', 'lastName': 'Holl'}","{'jerseyNumber': 44, 'apiID': 8476853, 'name': 'Morgan Rielly', 'position': 'Defenseman', 'firstName': 'Morgan', 'lastName': 'Rielly'}"
"{'jerseyNumber': 91, 'apiID': 8475172, 'name': 'Nazem Kadri', 'position': 'Center', 'firstName': 'Nazem', 'lastName': 'Kadri'}","{'jerseyNumber': 91, 'apiID': 8475172, 'name': 'Nazem Kadri', 'position': 'Center', 'firstName': 'Nazem', 'lastName': 'Kadri'}","{'jerseyNumber': 44, 'apiID': 8476853, 'name': 'Morgan Rielly', 'position': 'Defenseman', 'firstName': 'Morgan', 'lastName': 'Rielly'}","{'jerseyNumber': 46, 'apiID': 8476857, 'name': 'Pontus Aberg', 'position': 'Left Wing', 'firstName': 'Pontus', 'lastName': 'Aberg'}","{'jerseyNumber': 72, 'apiID': 8476329, 'name': 'Travis Boyd', 'position': 'Center', 'firstName': 'Travis', 'lastName': 'Boyd'}","{'jerseyNumber': 15, 'apiID': 8477021, 'name': 'Alex Kerfoot', 'position': 'Center', 'firstName': 'Alex', 'lastName': 'Kerfoot'}","{'jerseyNumber': 44, 'apiID': 8476853, 'name': 'Morgan Rielly', 'position': 'Defenseman', 'firstName': 'Morgan', 'lastName': 'Rielly'}","{'jerseyNumber': 22, 'apiID': 8476931, 'name': 'Jake McCabe', 'position': 'Defenseman', 'firstName': 'Jake', 'lastName': 'McCabe'}"
"{'jerseyNumber': 51, 'apiID': 8475278, 'name': 'Byron Froese', 'position': 'Center', 'firstName': 'Byron', 'lastName': 'Froese'}","{'jerseyNumber': 52, 'apiID': 8475716, 'name': 'Martin Marincin', 'position': 'Defenseman', 'firstName': 'Martin', 'lastName': 'Marincin'}","{'jerseyNumber': 28, 'apiID': 8477015, 'name': 'Connor Brown', 'position': 'Right Wing', 'firstName': 'Connor', 'lastName': 'Brown'}","{'jerseyNumber': 5, 'apiID': 8476879, 'name': 'Cody Ceci', 'position': 'Defenseman', 'firstName': 'Cody', 'lastName': 'Ceci'}","{'jerseyNumber': 23, 'apiID': 8476474, 'name': 'Stefan Noesen', 'position': 'Right Wing', 'firstName': 'Stefan', 'lastName': 'Noesen'}","{'jerseyNumber': 48, 'apiID': 8477472, 'name': 'Carl Dahlstrom', 'position': 'Defenseman', 'firstName': 'Carl', 'lastName': 'Dahlstrom'}","{'jerseyNumber': 22, 'apiID': 8476931, 'name': 'Jake McCabe', 'position': 'Defenseman', 'firstName': 'Jake', 'lastName': 'McCabe'}","{'jerseyNumber': 59, 'apiID': 8477479, 'name': 'Tyler Bertuzzi', 'position': 'Left Wing', 'firstName': 'Tyler', 'lastName': 'Bertuzzi'}"
"{'jerseyNumber': 52, 'apiID': 8475716, 'name': 'Martin Marincin', 'position': 'Defenseman', 'firstName': 'Martin', 'lastName': 'Marincin'}","{'jerseyNumber': 3, 'apiID': 8475718, 'name': 'Justin Holl', 'position': 'Defenseman', 'firstName': 'Justin', 'lastName': 'Holl'}","{'jerseyNumber': 18, 'apiID': 8477341, 'name': 'Andreas Johnsson', 'position': 'Left Wing', 'firstName': 'Andreas', 'lastName': 'Johnsson'}","{'jerseyNumber': 15, 'apiID': 8477021, 'name': 'Alex Kerfoot', 'position': 'Center', 'firstName': 'Alex', 'lastName': 'Kerfoot'}","{'jerseyNumber': 17, 'apiID': 8476851, 'name': 'Alex Galchenyuk', 'position': 'Center', 'firstName': 'Alex', 'lastName': 'Galchenyuk'}","{'jerseyNumber': 88, 'apiID': 8477939, 'name': 'William Nylander', 'position': 'Right Wing', 'firstName': 'William', 'lastName': 'Nylander'}","{'jerseyNumber': 56, 'apiID': 8476979, 'name': 'Erik Gustafsson', 'position': 'Defenseman', 'firstName': 'Erik', 'lastName': 'Gustafsson'}","{'jerseyNumber': 11, 'apiID': 8477503, 'name': 'Max Domi', 'position': 'Center', 'firstName': 'Max', 'lastName': 'Domi'}"
"{'jerseyNumber': 18, 'apiID': 8475786, 'name': 'Zach Hyman', 'position': 'Left Wing', 'firstName': 'Zach', 'lastName': 'Hyman'}","{'jerseyNumber': 18, 'apiID': 8475786, 'name': 'Zach Hyman', 'position': 'Left Wing', 'firstName': 'Zach', 'lastName': 'Hyman'}","{'jerseyNumber': 19, 'apiID': 8477464, 'name': 'Nic Petan', 'position': 'Center', 'firstName': 'Nic', 'lastName': 'Petan'}","{'jerseyNumber': 18, 'apiID': 8477341, 'name': 'Andreas Johnsson', 'position': 'Left Wing', 'firstName': 'Andreas', 'lastName': 'Johnsson'}","{'jerseyNumber': 44, 'apiID': 8476853, 'name': 'Morgan Rielly', 'position': 'Defenseman', 'firstName': 'Morgan', 'lastName': 'Rielly'}","{'jerseyNumber': 27, 'apiID': 8477941, 'name': 'Nick Ritchie', 'position': 'Left Wing', 'firstName': 'Nick', 'lastName': 'Ritchie'}","{'jerseyNumber': 15, 'apiID': 8477021, 'name': 'Alex Kerfoot', 'position': 'Center', 'firstName': 'Alex', 'lastName': 'Kerfoot'}","{'jerseyNumber': 88, 'apiID': 8477939, 'name': 'William Nylander', 'position': 'Right Wing', 'firstName': 'William', 'lastName': 'Nylander'}"
"{'jerseyNumber': 3, 'apiID': 8476289, 'name': 'Alexey Marchenko', 'position': 'Defenseman', 'firstName': 'Alexey', 'lastName': 'Marchenko'}","{'jerseyNumber': 17, 'apiID': 8476410, 'name': 'Josh Leivo', 'position': 'Left Wing', 'firstName': 'Josh', 'lastName': 'Leivo'}","{'jerseyNumber': 38, 'apiID': 8477512, 'name': 'Frederik Gauthier', 'position': 'Center', 'firstName': 'Frederik', 'lastName': 'Gauthier'}","{'jerseyNumber': 19, 'apiID': 8477464, 'name': 'Nic Petan', 'position': 'Center', 'firstName': 'Nic', 'lastName': 'Petan'}","{'jerseyNumber': 26, 'apiID': 8476918, 'name': 'Jimmy Vesey', 'position': 'Left Wing', 'firstName': 'Jimmy', 'lastName': 'Vesey'}","{'jerseyNumber': 22, 'apiID': 8478020, 'name': 'Michael Amadio', 'position': 'Right Wing', 'firstName': 'Michael', 'lastName': 'Amadio'}","{'jerseyNumber': 88, 'apiID': 8477939, 'name': 'William Nylander', 'position': 'Right Wing', 'firstName': 'William', 'lastName': 'Nylander'}","{'jerseyNumber': 85, 'apiID': 8478021, 'name': 'William Lagesson', 'position': 'Defenseman', 'firstName': 'William', 'lastName': 'Lagesson'}"
"{'jerseyNumber': 18, 'apiID': 8476302, 'name': 'Frank Corrado', 'position': 'Defenseman', 'firstName': 'Frank', 'lastName': 'Corrado'}","{'jerseyNumber': 44, 'apiID': 8476853, 'name': 'Morgan Rielly', 'position': 'Defenseman', 'firstName': 'Morgan', 'lastName': 'Rielly'}","{'jerseyNumber': 88, 'apiID': 8477939, 'name': 'William Nylander', 'position': 'Right Wing', 'firstName': 'William', 'lastName': 'Nylander'}","{'jerseyNumber': 38, 'apiID': 8477512, 'name': 'Frederik Gauthier', 'position': 'Center', 'firstName': 'Frederik', 'lastName': 'Gauthier'}","{'jerseyNumber': 17, 'apiID': 8477018, 'name': 'Ben Hutton', 'position': 'Defenseman', 'firstName': 'Ben', 'lastName': 'Hutton'}","{'jerseyNumber': 58, 'apiID': 8478047, 'name': 'Michael Bunting', 'position': 'Left Wing', 'firstName': 'Michael', 'lastName': 'Bunting'}","{'jerseyNumber': 96, 'apiID': 8477979, 'name': 'Nicolas Aube-Kubel', 'position': 'Right Wing', 'firstName': 'Nicolas', 'lastName': 'Aube-Kubel'}","{'jerseyNumber': 28, 'apiID': 8478043, 'name': 'Sam Lafferty', 'position': 'Center', 'firstName': 'Sam', 'lastName': 'Lafferty'}"
"{'jerseyNumber': 17, 'apiID': 8476410, 'name': 'Josh Leivo', 'position': 'Left Wing', 'firstName': 'Josh', 'lastName': 'Leivo'}","{'jerseyNumber': 36, 'apiID': 8476941, 'name': 'Connor Carrick', 'position': 'Defenseman', 'firstName': 'Connor', 'lastName': 'Carrick'}","{'jerseyNumber': 42, 'apiID': 8477953, 'name': 'Kasperi Kapanen', 'position': 'Right Wing', 'firstName': 'Kasperi', 'lastName': 'Kapanen'}","{'jerseyNumber': 88, 'apiID': 8477939, 'name': 'William Nylander', 'position': 'Right Wing', 'firstName': 'William', 'lastName': 'Nylander'}","{'jerseyNumber': 15, 'apiID': 8477021, 'name': 'Alex Kerfoot', 'position': 'Center', 'firstName': 'Alex', 'lastName': 'Kerfoot'}","{'jerseyNumber': 18, 'apiID': 8478115, 'name': 'Pierre Engvall', 'position': 'Left Wing', 'firstName': 'Pierre', 'lastName': 'Engvall'}","{'jerseyNumber': 28, 'apiID': 8478043, 'name': 'Sam Lafferty', 'position': 'Center', 'firstName': 'Sam', 'lastName': 'Lafferty'}","{'jerseyNumber': 16, 'apiID': 8478483, 'name': 'Mitchell Marner', 'position': 'Right Wing', 'firstName': 'Mitchell', 'lastName': 'Marner'}"
"{'jerseyNumber': 23, 'apiID': 8476495, 'name': 'Seth Griffith', 'position': 'Center', 'firstName': 'Seth', 'lastName': 'Griffith'}","{'jerseyNumber': 28, 'apiID': 8477015, 'name': 'Connor Brown', 'position': 'Right Wing', 'firstName': 'Connor', 'lastName': 'Brown'}","{'jerseyNumber': 33, 'apiID': 8478408, 'name': 'Travis Dermott', 'position': 'Defenseman', 'firstName': 'Travis', 'lastName': 'Dermott'}","{'jerseyNumber': 42, 'apiID': 8477953, 'name': 'Kasperi Kapanen', 'position': 'Right Wing', 'firstName': 'Kasperi', 'lastName': 'Kapanen'}","{'jerseyNumber': 49, 'apiID': 8477149, 'name': 'Scott Sabourin', 'position': 'Right Wing', 'firstName': 'Scott', 'lastName': 'Sabourin'}","{'jerseyNumber': 73, 'apiID': 8478131, 'name': 'Ondrej Kase', 'position': 'Right Wing', 'firstName': 'Ondrej', 'lastName': 'Kase'}","{'jerseyNumber': 58, 'apiID': 8478047, 'name': 'Michael Bunting', 'position': 'Left Wing', 'firstName': 'Michael', 'lastName': 'Bunting'}","{'jerseyNumber': 35, 'apiID': 8478492, 'name': 'Ilya Samsonov', 'position': 'Goalie', 'firstName': 'Ilya', 'lastName': 'Samsonov'}"
"{'jerseyNumber': 44, 'apiID': 8476853, 'name': 'Morgan Rielly', 'position': 'Defenseman', 'firstName': 'Morgan', 'lastName': 'Rielly'}","{'jerseyNumber': 18, 'apiID': 8477341, 'name': 'Andreas Johnsson', 'position': 'Left Wing', 'firstName': 'Andreas', 'lastName': 'Johnsson'}","{'jerseyNumber': 16, 'apiID': 8478483, 'name': 'Mitchell Marner', 'position': 'Right Wing', 'firstName': 'Mitchell', 'lastName': 'Marner'}","{'jerseyNumber': 18, 'apiID': 8478115, 'name': 'Pierre Engvall', 'position': 'Left Wing', 'firstName': 'Pierre', 'lastName': 'Engvall'}","{'jerseyNumber': 19, 'apiID': 8477464, 'name': 'Nic Petan', 'position': 'Center', 'firstName': 'Nic', 'lastName': 'Petan'}","{'jerseyNumber': 33, 'apiID': 8478408, 'name': 'Travis Dermott', 'position': 'Defenseman', 'firstName': 'Travis', 'lastName': 'Dermott'}","{'jerseyNumber': 18, 'apiID': 8478115, 'name': 'Pierre Engvall', 'position': 'Left Wing', 'firstName': 'Pierre', 'lastName': 'Engvall'}","{'jerseyNumber': 34, 'apiID': 8479318, 'name': 'Auston Matthews', 'position': 'Center', 'firstName': 'Auston', 'lastName': 'Matthews'}"
