team_id,season,stat.gamesPlayed,stat.wins,stat.losses,stat.ot,stat.pts,stat.ptPctg,stat.goalsPerGame,stat.goalsAgainstPerGame,stat.evGGARatio,stat.powerPlayPercentage,stat.powerPlayGoals,stat.powerPlayGoalsAgainst,stat.powerPlayOpportunities,stat.penaltyKillPercentage,stat.shotsPerGame,stat.shotsAllowed,stat.winScoreFirst,stat.winOppScoreFirst,stat.winLeadFirstPer,stat.winLeadSecondPer,stat.winOutshootOpp,stat.winOutshotByOpp,stat.faceOffsTaken,stat.faceOffsWon,stat.faceOffsLost,stat.faceOffWinPercentage,stat.shootingPctg,stat.savePctg,team.id,team.name,team.link,stat.penaltyKillOpportunities,stat.savePctRank,stat.shootingPctRank
1,2021,82.0,27,46,9,63,38.4,2.988,3.683,0.8341,15.6,35.0,42.0,225.0,80.2,31.2439,30.9756,0.421,0.25,0.56,0.762,0.39,0.275,4726.0,2214.0,2512.0,46.9,9.6,0.881,1,New Jersey Devils,/api/v1/teams/1,,,
1,2021,,28th,28th,16th,28th,28th,19th,29th,23rd,28th,28th,9th,23rd,14th,15th,12th,29th,23rd,31st,28th,28th,28th,11th,26th,29th,31st,,,1,New Jersey Devils,/api/v1/teams/1,4th,31st,16th
2,2021,82.0,37,35,10,84,51.2,2.793,2.817,0.9938,22.1,46.0,34.0,208.0,84.2,28.8659,32.5488,0.644,0.216,0.833,0.844,0.48,0.453,4342.0,2228.0,2114.0,51.3,9.7,0.913,2,New York Islanders,/api/v1/teams/2,,,
2,2021,,20th,20th,14th,20th,20th,22nd,8th,18th,12th,22nd,4th,31st,4th,30th,22nd,16th,28th,8th,19th,23rd,23rd,30th,23rd,1st,8th,,,2,New York Islanders,/api/v1/teams/2,5th,3rd,14th
3,2021,82.0,52,24,6,110,67.1,3.049,2.488,1.0743,25.2,55.0,40.0,218.0,82.3,29.1707,30.8293,0.829,0.439,0.857,0.886,0.625,0.633,4288.0,2061.0,2227.0,48.1,10.5,0.919,3,New York Rangers,/api/v1/teams/3,,,
3,2021,,6th,9th,28th,8th,8th,16th,2nd,14th,4th,9th,6th,28th,7th,28th,11th,9th,6th,6th,12th,10th,10th,32nd,31st,8th,24th,,,3,New York Rangers,/api/v1/teams/3,14th,1st,8th
4,2021,82.0,25,46,11,61,37.2,2.561,3.585,0.8377,12.6,30.0,57.0,239.0,75.7,30.9634,33.9634,0.541,0.111,0.6,0.778,0.333,0.255,4695.0,2448.0,2247.0,52.1,8.3,0.894,4,Philadelphia Flyers,/api/v1/teams/4,,,
4,2021,,30th,29th,12th,29th,29th,31st,27th,22nd,32nd,31st,25th,16th,26th,16th,29th,28th,32nd,29th,27th,30th,30th,15th,6th,12th,6th,,,4,Philadelphia Flyers,/api/v1/teams/4,19th,25th,31st
5,2021,82.0,46,25,11,103,62.8,3.28,2.707,1.1765,20.2,50.0,33.0,248.0,84.4,34.7439,31.4146,0.814,0.282,0.828,0.914,0.64,0.4,4619.0,2362.0,2257.0,51.1,9.4,0.914,5,Pittsburgh Penguins,/api/v1/teams/5,,,
5,2021,,12th,10th,8th,12th,12th,11th,5th,9th,19th,16th,2nd,7th,3rd,6th,14th,7th,22nd,11th,7th,8th,8th,20th,11th,13th,11th,,,5,Pittsburgh Penguins,/api/v1/teams/5,2nd,2nd,19th
6,2021,82.0,51,26,5,107,65.2,3.085,2.659,1.1862,21.2,50.0,49.0,236.0,81.3,36.122,28.7073,0.755,0.424,0.824,0.892,0.7,0.381,4880.0,2644.0,2236.0,54.2,8.5,0.907,6,Boston Bruins,/api/v1/teams/6,,,
6,2021,,8th,11th,32nd,10th,10th,15th,4th,7th,15th,15th,16th,18th,9th,2nd,3rd,4th,12th,12th,11th,3rd,3rd,3rd,1st,9th,3rd,,,6,Boston Bruins,/api/v1/teams/6,28th,9th,30th
7,2021,82.0,32,39,11,75,45.7,2.793,3.5,0.79,21.2,47.0,50.0,222.0,76.4,29.8902,32.9512,0.561,0.22,0.545,0.677,0.543,0.267,4418.0,2032.0,2386.0,46.0,9.3,0.894,7,Buffalo Sabres,/api/v1/teams/7,,,
7,2021,,24th,24th,11th,24th,24th,23rd,25th,29th,16th,19th,18th,24th,23rd,22nd,23rd,23rd,27th,32nd,32nd,18th,18th,29th,32nd,23rd,32nd,,,7,Buffalo Sabres,/api/v1/teams/7,3rd,27th,24th
8,2021,82.0,22,49,11,55,33.5,2.659,3.866,0.7908,13.7,34.0,67.0,248.0,75.5,29.7805,34.4268,0.533,0.115,0.722,0.842,0.318,0.259,4719.0,2321.0,2398.0,49.2,8.9,0.888,8,Montréal Canadiens,/api/v1/teams/8,,,
8,2021,,32nd,31st,13th,32nd,32nd,27th,32nd,28th,31st,29th,32nd,9th,27th,23rd,30th,30th,30th,21st,20th,31st,31st,13th,15th,25th,20th,,,8,Montréal Canadiens,/api/v1/teams/8,30th,30th,28th
9,2021,82.0,33,42,7,73,44.5,2.732,3.22,0.84,19.3,47.0,49.0,243.0,80.3,30.0366,33.4146,0.553,0.273,0.636,0.885,0.464,0.385,4624.0,2216.0,2408.0,47.9,9.1,0.904,9,Ottawa Senators,/api/v1/teams/9,,,
9,2021,,22nd,26th,25th,26th,26th,26th,22nd,21st,20th,20th,17th,13th,13th,21st,27th,27th,19th,25th,14th,25th,25th,19th,25th,26th,25th,,,9,Ottawa Senators,/api/v1/teams/9,22nd,16th,25th
10,2021,82.0,54,21,7,115,70.1,3.805,3.073,1.1538,27.3,63.0,42.0,231.0,82.0,34.5732,30.622,0.795,0.5,0.829,0.909,0.642,0.679,4788.0,2636.0,2152.0,55.0,11.0,0.9,10,Toronto Maple Leafs,/api/v1/teams/10,,,
10,2021,,4th,4th,21st,4th,4th,2nd,19th,10th,1st,4th,7th,21st,8th,7th,9th,6th,5th,10th,8th,7th,7th,8th,3rd,3rd,1st,,,10,Toronto Maple Leafs,/api/v1/teams/10,18th,22nd,5th
12,2021,82.0,54,20,8,116,70.7,3.378,2.439,1.383,22.0,51.0,33.0,232.0,88.0,34.122,28.1707,0.796,0.455,0.829,0.895,0.698,0.615,4853.0,2616.0,2237.0,53.9,9.9,0.913,12,Carolina Hurricanes,/api/v1/teams/12,,,
12,2021,,3rd,3rd,17th,3rd,3rd,9th,1st,2nd,13th,14th,1st,20th,1st,9th,1st,2nd,10th,9th,10th,4th,4th,5th,4th,10th,4th,,,12,Carolina Hurricanes,/api/v1/teams/12,31st,4th,13th
13,2021,82.0,58,18,6,122,74.4,4.11,2.951,1.3457,24.4,64.0,53.0,262.0,79.5,37.3415,30.6707,0.773,0.632,0.879,0.975,0.672,0.75,4901.0,2364.0,2537.0,48.2,11.0,0.904,13,Florida Panthers,/api/v1/teams/13,,,
13,2021,,1st,1st,27th,1st,1st,1st,12th,4th,5th,3rd,21st,2nd,16th,1st,10th,8th,1st,4th,1st,6th,6th,1st,10th,31st,22nd,,,13,Florida Panthers,/api/v1/teams/13,27th,15th,4th
