team_id,season,stat.gamesPlayed,stat.wins,stat.losses,stat.ot,stat.pts,stat.ptPctg,stat.goalsPerGame,stat.goalsAgainstPerGame,stat.evGGARatio,stat.powerPlayPercentage,stat.powerPlayGoals,stat.powerPlayGoalsAgainst,stat.powerPlayOpportunities,stat.penaltyKillPercentage,stat.shotsPerGame,stat.shotsAllowed,stat.winScoreFirst,stat.winOppScoreFirst,stat.winLeadFirstPer,stat.winLeadSecondPer,stat.winOutshootOpp,stat.winOutshotByOpp,stat.faceOffsTaken,stat.faceOffsWon,stat.faceOffsLost,stat.faceOffWinPercentage,stat.shootingPctg,stat.savePctg,team.id,team.name,team.link,stat.penaltyKillOpportunities,stat.savePctRank,stat.shootingPctRank
12,2017,,21st,21st,10th,21st,21st,23rd,22nd,25th,22nd,22nd,5th,26th,24th,4th,1st,16th,29th,27th,25th,13th,13th,31st,6th,1st,1st,,,12.0,Carolina Hurricanes,/api/v1/teams/12,1st,31st,28th
13,2017,82.0,44,30,8,96,58.5,2.988,2.963,0.994,18.9,47.0,45.0,249.0,80.2,34.4146,34.6098,0.717,0.306,0.871,0.935,0.444,0.605,5236.0,2657.0,2579.0,50.7,8.7,0.914,13.0,Florida Panthers,/api/v1/teams/13,,,
13,2017,,15th,16th,22nd,16th,16th,14th,18th,16th,21st,20th,7th,14th,16th,2nd,29th,9th,22nd,5th,4th,21st,21st,1st,4th,26th,11th,,,13.0,Florida Panthers,/api/v1/teams/13,6th,6th,20th
14,2017,82.0,54,23,5,113,68.9,3.537,2.854,1.3425,23.9,66.0,64.0,276.0,76.1,32.6829,32.7195,0.837,0.462,0.821,0.923,0.683,0.625,5062.0,2441.0,2621.0,48.2,10.8,0.913,14.0,Tampa Bay Lightning,/api/v1/teams/14,,,
14,2017,,1st,4th,31st,3rd,3rd,1st,13th,1st,3rd,2nd,30th,2nd,28th,12th,23rd,4th,5th,10th,5th,2nd,2nd,8th,19th,27th,27th,,,14.0,Tampa Bay Lightning,/api/v1/teams/14,22nd,8th,1st
15,2017,82.0,49,26,7,105,64.0,3.122,2.902,1.1104,22.5,55.0,53.0,244.0,80.3,29.0122,31.8659,0.811,0.422,0.966,0.9,0.679,0.56,4894.0,2467.0,2427.0,50.4,10.8,0.909,15.0,Washington Capitals,/api/v1/teams/15,,,
15,2017,,7th,8th,26th,7th,7th,9th,16th,10th,7th,9th,20th,20th,15th,31st,14th,10th,3rd,1st,10th,4th,4th,24th,17th,7th,13th,,,15.0,Washington Capitals,/api/v1/teams/15,23rd,17th,2nd
16,2017,82.0,33,39,10,76,46.3,2.78,3.098,0.9023,16.0,43.0,49.0,269.0,79.2,34.061,32.8902,0.543,0.222,0.581,0.769,0.395,0.4,5019.0,2472.0,2547.0,49.2,8.2,0.906,16.0,Chicago Blackhawks,/api/v1/teams/16,,,
16,2017,,25th,24th,17th,25th,25th,22nd,23rd,23rd,29th,24th,15th,6th,20th,3rd,24th,20th,26th,30th,27th,25th,25th,13th,16th,21st,21st,,,16.0,Chicago Blackhawks,/api/v1/teams/16,10th,19th,27th
17,2017,82.0,30,39,13,73,44.5,2.585,3.098,0.8862,17.5,41.0,58.0,234.0,77.5,30.3659,31.8659,0.524,0.2,0.68,0.793,0.344,0.356,5009.0,2447.0,2562.0,48.9,8.5,0.903,17.0,Detroit Red Wings,/api/v1/teams/17,,,
