lineId,season,name,team,position,situation,games_played,icetime,iceTimeRank,xGoalsPercentage,corsiPercentage,fenwickPercentage,xOnGoalFor,xGoalsFor,xReboundsFor,xFreezeFor,xPlayStoppedFor,xPlayContinuedInZoneFor,xPlayContinuedOutsideZoneFor,flurryAdjustedxGoalsFor,scoreVenueAdjustedxGoalsFor,flurryScoreVenueAdjustedxGoalsFor,shotsOnGoalFor,missedShotsFor,blockedShotAttemptsFor,shotAttemptsFor,goalsFor,reboundsFor,reboundGoalsFor,freezeFor,playStoppedFor,playContinuedInZoneFor,playContinuedOutsideZoneFor,savedShotsOnGoalFor,savedUnblockedShotAttemptsFor,penaltiesFor,penalityMinutesFor,faceOffsWonFor,hitsFor,takeawaysFor,giveawaysFor,lowDangerShotsFor,mediumDangerShotsFor,highDangerShotsFor,lowDangerxGoalsFor,mediumDangerxGoalsFor,highDangerxGoalsFor,lowDangerGoalsFor,mediumDangerGoalsFor,highDangerGoalsFor,scoreAdjustedShotsAttemptsFor,unblockedShotAttemptsFor,scoreAdjustedUnblockedShotAttemptsFor,dZoneGiveawaysFor,xGoalsFromxReboundsOfShotsFor,xGoalsFromActualReboundsOfShotsFor,reboundxGoalsFor,totalShotCreditFor,scoreAdjustedTotalShotCreditFor,scoreFlurryAdjustedTotalShotCreditFor,xOnGoalAgainst,xGoalsAgainst,xReboundsAgainst,xFreezeAgainst,xPlayStoppedAgainst,xPlayContinuedInZoneAgainst,xPlayContinuedOutsideZoneAgainst,flurryAdjustedxGoalsAgainst,scoreVenueAdjustedxGoalsAgainst,flurryScoreVenueAdjustedxGoalsAgainst,shotsOnGoalAgainst,missedShotsAgainst,blockedShotAttemptsAgainst,shotAttemptsAgainst,goalsAgainst,reboundsAgainst,reboundGoalsAgainst,freezeAgainst,playStoppedAgainst,playContinuedInZoneAgainst,playContinuedOutsideZoneAgainst,savedShotsOnGoalAgainst,savedUnblockedShotAttemptsAgainst,penaltiesAgainst,penalityMinutesAgainst,faceOffsWonAgainst,hitsAgainst,takeawaysAgainst,giveawaysAgainst,lowDangerShotsAgainst,mediumDangerShotsAgainst,highDangerShotsAgainst,lowDangerxGoalsAgainst,mediumDangerxGoalsAgainst,highDangerxGoalsAgainst,lowDangerGoalsAgainst,mediumDangerGoalsAgainst,highDangerGoalsAgainst,scoreAdjustedShotsAttemptsAgainst,unblockedShotAttemptsAgainst,scoreAdjustedUnblockedShotAttemptsAgainst,dZoneGiveawaysAgainst,xGoalsFromxReboundsOfShotsAgainst,xGoalsFromActualReboundsOfShotsAgainst,reboundxGoalsAgainst,totalShotCreditAgainst,scoreAdjustedTotalShotCreditAgainst,scoreFlurryAdjustedTotalShotCreditAgainst
847842784808358482093,2022,Drury-Aho-Jarvis,CAR,line,5on5,9,1288.0,58.0,0.61,0.53,0.51,14.0,1.84,0.99,3.53,0.44,6.45,4.75,1.52,1.9,1.56,14.0,4.0,7.0,25.0,0.0,4.0,0.0,4.0,1.0,2.0,7.0,14.0,18.0,2.0,4.0,4.0,11.0,0.0,7.0,10.0,4.0,4.0,0.29,0.51,1.04,0.0,0.0,0.0,25.44,18.0,18.32,4.0,0.21,1.04,1.04,1.01,1.02,0.98,12.58,1.15,0.98,2.97,0.42,7.02,4.46,1.11,1.12,1.08,11.0,6.0,5.0,22.0,1.0,1.0,0.0,2.0,0.0,7.0,6.0,10.0,16.0,3.0,8.0,8.0,20.0,2.0,6.0,11.0,6.0,0.0,0.33,0.82,0.0,1.0,0.0,0.0,21.96,17.0,16.99,2.0,0.2,0.04,0.04,1.32,1.28,1.24
847742684795258479591,2022,Eyssimont-Paul-Colton,TBL,line,5on5,3,1481.0,8.0,0.67,0.64,0.54,10.35,1.05,0.77,2.64,0.37,5.52,3.65,1.04,1.09,1.07,13.0,1.0,14.0,28.0,2.0,0.0,0.0,3.0,0.0,7.0,2.0,11.0,12.0,0.0,0.0,18.0,24.0,5.0,2.0,9.0,4.0,1.0,0.3,0.49,0.25,1.0,0.0,1.0,29.28,14.0,14.64,2.0,0.16,0.0,0.0,1.21,1.26,1.24,8.52,0.52,0.52,2.23,0.25,5.12,3.36,0.52,0.53,0.53,5.0,7.0,4.0,16.0,1.0,0.0,0.0,2.0,0.0,3.0,6.0,4.0,11.0,1.0,2.0,12.0,28.0,5.0,9.0,10.0,2.0,0.0,0.22,0.3,0.0,1.0,0.0,0.0,15.79,12.0,11.97,6.0,0.1,0.0,0.0,0.62,0.64,0.64
847515884751668477939,2022,O'Reilly-Tavares-Nylander,TOR,line,5on5,8,1368.0,48.0,0.32,0.46,0.42,11.24,0.96,0.73,2.43,0.35,6.74,4.79,0.93,0.91,0.89,9.0,7.0,7.0,23.0,0.0,0.0,0.0,3.0,0.0,7.0,6.0,9.0,16.0,2.0,4.0,16.0,8.0,4.0,8.0,13.0,2.0,1.0,0.49,0.22,0.24,0.0,0.0,0.0,21.67,16.0,15.2,8.0,0.15,0.0,0.0,1.11,1.06,1.03,16.73,2.03,1.07,4.14,0.63,8.3,5.82,1.86,2.19,2.0,15.0,7.0,5.0,27.0,2.0,2.0,1.0,2.0,0.0,8.0,8.0,13.0,20.0,0.0,0.0,11.0,8.0,5.0,4.0,12.0,6.0,4.0,0.21,0.72,1.1,0.0,1.0,1.0,28.54,22.0,23.67,2.0,0.22,0.66,0.66,1.59,1.7,1.65
84741668477018,2022,Martinez-Hutton,VGK,pairing,5on5,2,651.0,11.0,0.29,0.42,0.29,1.11,0.11,0.08,0.26,0.05,0.86,0.63,0.11,0.11,0.11,1.0,1.0,3.0,5.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,2.0,0.0,0.0,6.0,8.0,2.0,0.0,1.0,1.0,0.0,0.02,0.1,0.0,0.0,0.0,0.0,4.91,2.0,2.08,0.0,0.02,0.0,0.0,0.13,0.13,0.13,3.85,0.28,0.21,0.99,0.12,1.9,1.5,0.28,0.3,0.3,3.0,2.0,2.0,7.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,3.0,5.0,2.0,6.0,3.0,9.0,2.0,2.0,4.0,1.0,0.0,0.11,0.17,0.0,0.0,0.0,0.0,7.43,5.0,5.22,1.0,0.04,0.0,0.0,0.32,0.34,0.34
847740984774938479314,2022,Tkachuk-Barkov-Verhaeghe,FLA,line,5on5,14,749.0,164.0,0.75,0.59,0.53,7.57,0.96,0.52,1.84,0.22,3.72,2.74,0.96,0.97,0.97,6.0,4.0,3.0,13.0,2.0,0.0,0.0,2.0,1.0,2.0,3.0,4.0,8.0,1.0,2.0,1.0,9.0,0.0,0.0,6.0,3.0,1.0,0.16,0.49,0.3,1.0,0.0,1.0,12.93,10.0,9.86,0.0,0.11,0.0,0.0,1.07,1.08,1.08,6.4,0.33,0.37,1.62,0.19,3.65,2.83,0.32,0.34,0.34,7.0,2.0,0.0,9.0,0.0,0.0,0.0,3.0,1.0,1.0,4.0,7.0,9.0,0.0,0.0,4.0,9.0,0.0,5.0,7.0,2.0,0.0,0.16,0.17,0.0,0.0,0.0,0.0,9.46,9.0,9.4,2.0,0.07,0.0,0.0,0.4,0.42,0.41
847576584763898478550,2022,Panarin-Trocheck-Tarasenko,NYR,line,5on5,5,2868.0,11.0,0.34,0.39,0.42,23.48,1.71,1.49,5.89,0.78,12.82,9.32,1.68,1.76,1.74,22.0,10.0,7.0,39.0,2.0,1.0,0.0,1.0,1.0,13.0,14.0,20.0,30.0,6.0,10.0,18.0,21.0,8.0,13.0,28.0,2.0,2.0,1.04,0.24,0.42,1.0,1.0,0.0,39.51,32.0,32.86,4.0,0.3,0.07,0.07,1.94,2.0,1.97,33.98,3.29,2.13,7.85,1.09,17.08,13.55,3.15,3.27,3.13,31.0,14.0,17.0,62.0,1.0,5.0,0.0,0.0,0.0,18.0,21.0,30.0,44.0,5.0,10.0,28.0,18.0,9.0,12.0,33.0,8.0,4.0,1.05,1.13,1.11,0.0,1.0,0.0,61.07,45.0,43.85,8.0,0.45,1.14,1.14,2.6,2.57,2.53
84764628476923,2022,Hamilton-Severson,NJD,pairing,5on5,11,807.0,97.0,0.76,0.7,0.7,10.51,1.01,0.71,2.74,0.33,5.11,4.1,0.99,1.0,0.97,9.0,5.0,5.0,19.0,0.0,1.0,0.0,1.0,0.0,5.0,7.0,9.0,14.0,1.0,2.0,5.0,8.0,1.0,2.0,10.0,2.0,2.0,0.27,0.18,0.56,0.0,0.0,0.0,18.66,14.0,13.85,0.0,0.15,0.28,0.28,0.88,0.86,0.86,4.44,0.33,0.22,1.09,0.15,2.25,1.97,0.33,0.32,0.32,5.0,1.0,2.0,8.0,1.0,0.0,0.0,1.0,0.0,2.0,2.0,4.0,5.0,0.0,0.0,8.0,7.0,2.0,0.0,5.0,1.0,0.0,0.2,0.13,0.0,1.0,0.0,0.0,8.89,6.0,6.29,0.0,0.04,0.0,0.0,0.37,0.37,0.37
847519184764488478020,2022,Smith-Karlsson-Amadio,VGK,line,5on5,11,5629.0,28.0,0.57,0.48,0.51,52.16,5.19,3.52,13.08,1.75,27.67,19.79,4.96,5.36,5.11,52.0,19.0,25.0,96.0,8.0,7.0,1.0,11.0,1.0,19.0,25.0,44.0,63.0,4.0,8.0,68.0,15.0,36.0,20.0,47.0,19.0,5.0,1.36,2.42,1.42,2.0,3.0,3.0,101.98,71.0,73.92,12.0,0.74,1.15,1.15,4.78,4.93,4.83,49.51,3.87,3.13,12.67,1.75,27.3,20.28,3.78,3.82,3.72,43.0,26.0,36.0,105.0,0.0,7.0,0.0,9.0,0.0,31.0,22.0,43.0,69.0,6.0,12.0,54.0,60.0,11.0,18.0,55.0,11.0,3.0,1.41,1.5,0.97,0.0,0.0,0.0,101.76,69.0,67.35,9.0,0.65,1.11,1.11,3.42,3.41,3.34
84769588477488,2022,Slavin-Pesce,CAR,pairing,5on5,11,661.0,65.0,0.83,0.63,0.71,8.82,0.98,0.55,2.55,0.33,4.33,3.25,0.93,1.02,0.96,9.0,3.0,5.0,17.0,1.0,2.0,1.0,2.0,0.0,4.0,3.0,8.0,11.0,0.0,0.0,4.0,2.0,2.0,1.0,10.0,0.0,2.0,0.35,0.0,0.63,0.0,0.0,1.0,16.92,12.0,12.11,0.0,0.12,0.45,0.45,0.65,0.66,0.66,3.77,0.21,0.22,1.01,0.12,1.92,1.52,0.21,0.21,0.21,4.0,1.0,5.0,10.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,4.0,5.0,1.0,2.0,0.0,13.0,2.0,1.0,4.0,1.0,0.0,0.12,0.08,0.0,0.0,0.0,0.0,10.36,5.0,5.25,0.0,0.04,0.0,0.0,0.25,0.26,0.26
847804784784838479318,2022,Bunting-Matthews-Marner,TOR,line,5on5,7,2291.0,69.0,0.57,0.51,0.57,23.25,1.61,1.78,5.78,0.79,13.62,9.41,1.59,1.59,1.56,23.0,10.0,9.0,42.0,0.0,1.0,0.0,9.0,2.0,11.0,10.0,23.0,33.0,2.0,7.0,21.0,30.0,10.0,8.0,27.0,6.0,0.0,0.76,0.85,0.0,0.0,0.0,0.0,40.84,33.0,32.31,3.0,0.37,0.01,0.01,1.97,1.94,1.91,18.2,1.22,1.11,4.64,0.58,9.88,7.57,1.19,1.19,1.17,13.0,12.0,15.0,40.0,1.0,2.0,0.0,3.0,0.0,4.0,15.0,12.0,24.0,2.0,4.0,17.0,23.0,9.0,5.0,22.0,2.0,1.0,0.57,0.29,0.35,1.0,0.0,0.0,41.37,25.0,25.54,5.0,0.22,0.39,0.39,1.05,1.06,1.06
