,team_id,player_id,full_name,role
149,5,8475832,Tom Kuhnhackl,Forward
150,5,8476162,Steve Oleksy,Defenseman
151,5,8476293,Scott Wilson,Forward
152,5,8476302,Frank Corrado,Defenseman
153,5,8476326,Josh Archibald,Forward
154,5,8476874,Olli Maatta,Defenseman
155,5,8476884,Derrick Pouliot,Defenseman
156,5,8476897,Oskar Sundqvist,Forward
157,5,8477240,Carter Rowney,Forward
158,5,8477244,Chad Ruhwedel,Defenseman
159,5,8477404,Jake Guentzel,Forward
160,5,8477520,Jean-Sebastien Dea,Forward
161,5,8477839,Conor Sheary,Forward
162,5,8478866,Dominik Simon,Forward
163,5,8470594,Marc-Andre Fleury,Goalie
164,5,8476899,Matt Murray,Goalie
165,5,8477237,Mike Condon,Goalie
166,5,8477465,Tristan Jarry,Goalie
167,6,8465009,Zdeno Chara,Defenseman
168,6,8468575,Dominic Moore,Forward
169,6,8468639,John-Michael Liles,Defenseman
170,6,8470638,Patrice Bergeron,Forward
171,6,8470655,David Backes,Forward
172,6,8471226,Drew Stafford,Forward
173,6,8471276,David Krejci,Forward
174,6,8471717,Adam McQuaid,Defenseman
175,6,8473419,Brad Marchand,Forward
176,6,8473492,Matt Beleskey,Forward
177,6,8474062,Riley Nash,Forward
178,6,8474625,Jimmy Hayes,Forward
179,6,8475727,Ryan Spooner,Forward
180,6,8476191,Kevan Miller,Defenseman
181,6,8476303,Rob O'Gara,Defenseman
182,6,8476374,Sean Kuraly,Forward
183,6,8476476,Joe Morrow,Defenseman
184,6,8476525,Colin Miller,Defenseman
185,6,8476792,Torey Krug,Defenseman
186,6,8476891,Matt Grzelcyk,Defenseman
187,6,8477213,Tim Schaller,Forward
188,6,8477320,Anton Blidh,Forward
189,6,8477417,Peter Cehlarik,Forward
190,6,8477956,David Pastrnak,Forward
191,6,8478046,Danton Heinen,Forward
192,6,8478366,Frank Vatrano,Forward
193,6,8478417,Jakob Forsbacka Karlsson,Forward
194,6,8478443,Brandon Carlo,Defenseman
195,6,8478512,Austin Czarnik,Forward
196,6,8478569,Noel Acciari,Forward
197,6,8479325,Charlie McAvoy,Defenseman
198,6,8471418,Anton Khudobin,Goalie
199,6,8471695,Tuukka Rask,Goalie
200,6,8475876,Zane McIntyre,Goalie
201,6,8476876,Malcolm Subban,Goalie
202,7,8467407,Brian Gionta,Forward
203,7,8470324,Josh Gorges,Defenseman
204,7,8471742,Cody Franson,Defenseman
205,7,8471811,Cal O'Reilly,Forward
206,7,8473449,Kyle Okposo,Forward
207,7,8473992,Justin Falk,Defenseman
208,7,8474567,Zach Bogosian,Defenseman
209,7,8474589,Tyler Ennis,Forward
210,7,8474683,Derek Grant,Forward
211,7,8475158,Ryan O'Reilly,Forward
212,7,8475169,Evander Kane,Forward
213,7,8475179,Dmitry Kulikov,Defenseman
214,7,8475220,Marcus Foligno,Forward
215,7,8475235,Nicolas Deslauriers,Forward
216,7,8475728,Johan Larsson,Forward
217,7,8475982,Erik Burgdoerfer,Defenseman
218,7,8476166,Taylor Fedun,Defenseman
219,7,8476766,Cole Schneider,Forward
