team_id,season,jerseyNumber,person.id,person.fullName,person.link,position.code,position.name,position.type,position.abbreviation
2,2018,90,8475215,Robin Lehner,/api/v1/people/8475215,G,Goalie,Goalie,G
2,2018,1,8476444,Christopher Gibson,/api/v1/people/8476444,G,Goalie,Goalie,G
3,2018,55,8471657,Cody McLeod,/api/v1/people/8471657,L,Left Wing,Forward,LW
3,2018,18,8471686,Marc Staal,/api/v1/people/8471686,D,Defenseman,Defenseman,D
3,2018,54,8471717,Adam McQuaid,/api/v1/people/8471717,D,Defenseman,Defenseman,D
3,2018,39,8473492,Matt Beleskey,/api/v1/people/8473492,L,Left Wing,Forward,LW
3,2018,12,8474031,Kevin Shattenkirk,/api/v1/people/8474031,D,Defenseman,Defenseman,D
3,2018,2,8474090,Brendan Smith,/api/v1/people/8474090,D,Defenseman,Defenseman,D
3,2018,20,8475184,Chris Kreider,/api/v1/people/8475184,L,Left Wing,Forward,LW
3,2018,36,8475692,Mats Zuccarello,/api/v1/people/8475692,R,Right Wing,Forward,RW
3,2018,15,8475727,Ryan Spooner,/api/v1/people/8475727,C,Center,Forward,C
3,2018,23,8475736,Connor Brickley,/api/v1/people/8475736,L,Left Wing,Forward,LW
3,2018,12,8475763,Kevin Hayes,/api/v1/people/8475763,R,Right Wing,Forward,RW
3,2018,71,8475855,Jesper Fast,/api/v1/people/8475855,R,Right Wing,Forward,RW
3,2018,3,8476368,Fredrik Claesson,/api/v1/people/8476368,D,Defenseman,Defenseman,D
3,2018,62,8476396,Steven Fogarty,/api/v1/people/8476396,C,Center,Forward,C
3,2018,16,8476458,Ryan Strome,/api/v1/people/8476458,C,Center,Forward,C
3,2018,93,8476459,Mika Zibanejad,/api/v1/people/8476459,C,Center,Forward,C
3,2018,7,8476480,Vladislav Namestnikov,/api/v1/people/8476480,C,Center,Forward,C
3,2018,76,8476869,Brady Skjei,/api/v1/people/8476869,D,Defenseman,Defenseman,D
3,2018,26,8476918,Jimmy Vesey,/api/v1/people/8476918,L,Left Wing,Forward,LW
3,2018,59,8476922,Boo Nieves,/api/v1/people/8476922,C,Center,Forward,C
3,2018,58,8477337,John Gilmour,/api/v1/people/8477337,D,Defenseman,Defenseman,D
3,2018,89,8477402,Pavel Buchnevich,/api/v1/people/8477402,L,Left Wing,Forward,LW
3,2018,77,8477950,Tony DeAngelo,/api/v1/people/8477950,D,Defenseman,Defenseman,D
3,2018,28,8477962,Brendan Lemieux,/api/v1/people/8477962,L,Left Wing,Forward,LW
3,2018,55,8479324,Ryan Lindgren,/api/v1/people/8479324,D,Defenseman,Defenseman,D
