,division_id,name,abbreviation,link,active,conference_id
0,17,Atlantic,ATL,/api/v1/divisions/17,True,6
1,16,Central,CEN,/api/v1/divisions/16,True,5
2,18,Metropolitan,Metro,/api/v1/divisions/18,True,6
3,15,Pacific,PAC,/api/v1/divisions/15,True,5
