team_id,season,stat.gamesPlayed,stat.wins,stat.losses,stat.ot,stat.pts,stat.ptPctg,stat.goalsPerGame,stat.goalsAgainstPerGame,stat.evGGARatio,stat.powerPlayPercentage,stat.powerPlayGoals,stat.powerPlayGoalsAgainst,stat.powerPlayOpportunities,stat.penaltyKillPercentage,stat.shotsPerGame,stat.shotsAllowed,stat.winScoreFirst,stat.winOppScoreFirst,stat.winLeadFirstPer,stat.winLeadSecondPer,stat.winOutshootOpp,stat.winOutshotByOpp,stat.faceOffsTaken,stat.faceOffsWon,stat.faceOffsLost,stat.faceOffWinPercentage,stat.shootingPctg,stat.savePctg,team.id,team.name,team.link,stat.penaltyKillOpportunities,stat.savePctRank,stat.shootingPctRank
1,2023,8.0,5,2,1,11,68.8,4.125,3.625,0.6842,42.4,14.0,8.0,33.0,75.0,32.625,30.625,1.0,0.571,0.0,0.6,0.6,0.667,457.0,235.0,222.0,51.4,12.6,0.882,1,New Jersey Devils,/api/v1/teams/1,,,
1,2023,,13th,9th,14th,13th,7th,2nd,27th,27th,1st,1st,21st,15th,24th,11th,18th,29th,3rd,2nd,29th,15th,15th,31st,28th,2nd,12th,,,1,New Jersey Devils,/api/v1/teams/1,20th,27th,4th
2,2023,8.0,4,2,2,10,62.5,2.625,2.875,1.1538,16.0,4.0,6.0,25.0,79.3,33.0,34.75,0.667,0.0,1.0,0.75,0.667,0.25,462.0,249.0,213.0,53.9,8.0,0.917,2,New York Islanders,/api/v1/teams/2,,,
2,2023,,16th,11th,4th,15th,11th,25th,8th,14th,21st,22nd,14th,28th,14th,9th,29th,9th,27th,14th,23rd,13th,13th,30th,22nd,1st,4th,,,2,New York Islanders,/api/v1/teams/2,11th,7th,23rd
3,2023,9.0,7,2,0,14,77.8,3.1111,2.0,1.0,34.4,11.0,5.0,32.0,83.9,28.2222,26.2222,0.833,0.667,1.0,1.0,0.8,0.75,492.0,268.0,224.0,54.5,11.0,0.924,3,New York Rangers,/api/v1/teams/3,,,
3,2023,,3rd,4th,24th,3rd,4th,19th,2nd,17th,2nd,3rd,9th,17th,10th,27th,2nd,2nd,9th,7th,3rd,8th,8th,23rd,12th,3rd,3rd,,,3,New York Rangers,/api/v1/teams/3,15th,3rd,12th
4,2023,10.0,4,5,1,9,45.0,3.2,3.3,0.913,11.4,4.0,6.0,35.0,77.8,33.3,26.7,0.8,0.0,0.667,0.8,0.571,0.0,593.0,283.0,310.0,47.7,9.6,0.876,4,Philadelphia Flyers,/api/v1/teams/4,,,
4,2023,,18th,25th,19th,21st,22nd,17th,22nd,21st,28th,25th,15th,12th,16th,6th,3rd,10th,28th,24th,20th,16th,16th,4th,9th,31st,25th,,,4,Philadelphia Flyers,/api/v1/teams/4,5th,29th,20th
5,2023,9.0,3,6,0,6,33.3,2.8889,3.222222,0.9545,14.8,4.0,5.0,27.0,82.1,36.0,28.7778,0.333,0.333,0.333,0.667,0.143,1.0,540.0,307.0,233.0,56.9,8.0,0.888,5,Pittsburgh Penguins,/api/v1/teams/5,,,
5,2023,,28th,29th,31st,28th,28th,21st,19th,19th,22nd,26th,13th,27th,12th,1st,7th,26th,25th,30th,27th,31st,31st,11th,3rd,5th,1st,,,5,Pittsburgh Penguins,/api/v1/teams/5,9th,24th,26th
