,team_id,season,player_id,full_name,first_name,last_name,jersey_number,position,position_code
82,3,2016,8475795,Dylan McIlrath,Dylan,McIlrath,25,Defenseman,D
83,3,2016,8475855,Jesper Fast,Jesper,Fast,71,Right Wing,RW
84,3,2016,8475949,Marek Hrivik,Marek,Hrivik,46,Left Wing,LW
85,3,2016,8476431,Adam Clendening,Adam,Clendening,6,Defenseman,D
86,3,2016,8476459,Mika Zibanejad,Mika,Zibanejad,93,Center,C
87,3,2016,8476468,J.T. Miller,J.T.,Miller,9,Center,C
88,3,2016,8476477,Matt Puempel,Matt,Puempel,54,Left Wing,LW
89,3,2016,8476482,Nicklas Jensen,Nicklas,Jensen,39,Right Wing,RW
90,3,2016,8476869,Brady Skjei,Brady,Skjei,76,Defenseman,D
91,3,2016,8476918,Jimmy Vesey,Jimmy,Vesey,26,Left Wing,LW
92,3,2016,8476922,Boo Nieves,Boo,Nieves,59,Center,C
93,3,2016,8477402,Pavel Buchnevich,Pavel,Buchnevich,89,Left Wing,LW
94,3,2016,8477591,Josh Jooris,Josh,Jooris,36,Right Wing,RW
95,3,2016,8468685,Henrik Lundqvist,Henrik,Lundqvist,30,Goalie,G
96,3,2016,8476433,Magnus Hellberg,Magnus,Hellberg,45,Goalie,G
97,3,2016,8477293,Antti Raanta,Antti,Raanta,32,Goalie,G
98,4,2016,8468309,Mark Streit,Mark,Streit,32,Defenseman,D
99,4,2016,8468513,Nick Schultz,Nick,Schultz,55,Defenseman,D
100,4,2016,8470047,Valtteri Filppula,Valtteri,Filppula,51,Center,C
101,4,2016,8470159,Boyd Gordon,Boyd,Gordon,27,Center,C
102,4,2016,8470644,Colin McDonald,Colin,McDonald,36,Right Wing,RW
103,4,2016,8471762,Chris VandeVelde,Chris,VandeVelde,76,Center,C
104,4,2016,8473512,Claude Giroux,Claude,Giroux,28,Right Wing,RW
105,4,2016,8473584,Andrew MacDonald,Andrew,MacDonald,47,Defenseman,D
106,4,2016,8474190,Wayne Simmonds,Wayne,Simmonds,24,Right Wing,RW
107,4,2016,8474584,Michael Del Zotto,Michael,Del,4,Defenseman,D
