stat.gamesPlayed,stat.wins,stat.losses,stat.ot,stat.pts,stat.ptPctg,stat.goalsPerGame,stat.goalsAgainstPerGame,stat.evGGARatio,stat.powerPlayPercentage,stat.powerPlayGoals,stat.powerPlayGoalsAgainst,stat.powerPlayOpportunities,stat.penaltyKillPercentage,stat.shotsPerGame,stat.shotsAllowed,stat.winScoreFirst,stat.winOppScoreFirst,stat.winLeadFirstPer,stat.winLeadSecondPer,stat.winOutshootOpp,stat.winOutshotByOpp,stat.faceOffsTaken,stat.faceOffsWon,stat.faceOffsLost,stat.faceOffWinPercentage,stat.shootingPctg,stat.savePctg,team.id,team.name,team.link,stat.penaltyKillOpportunities,stat.savePctRank,stat.shootingPctRank
82.0,54,21,7,115,70.1,3.805,3.073,1.1538,27.3,63.0,42.0,231.0,82.0,34.5732,30.622,0.795,0.5,0.829,0.909,0.642,0.679,4788.0,2636.0,2152.0,55.0,11.0,0.9,10,Toronto Maple Leafs,/api/v1/teams/10,,,
,4th,4th,21st,4th,4th,2nd,19th,10th,1st,4th,7th,21st,8th,7th,9th,6th,5th,10th,8th,7th,7th,8th,3rd,3rd,1st,,,10,Toronto Maple Leafs,/api/v1/teams/10,18th,22nd,5th
