team_id,season,stat.gamesPlayed,stat.wins,stat.losses,stat.ot,stat.pts,stat.ptPctg,stat.goalsPerGame,stat.goalsAgainstPerGame,stat.evGGARatio,stat.powerPlayPercentage,stat.powerPlayGoals,stat.powerPlayGoalsAgainst,stat.powerPlayOpportunities,stat.penaltyKillPercentage,stat.shotsPerGame,stat.shotsAllowed,stat.winScoreFirst,stat.winOppScoreFirst,stat.winLeadFirstPer,stat.winLeadSecondPer,stat.winOutshootOpp,stat.winOutshotByOpp,stat.faceOffsTaken,stat.faceOffsWon,stat.faceOffsLost,stat.faceOffWinPercentage,stat.shootingPctg,stat.savePctg,team.id,team.name,team.link,stat.penaltyKillOpportunities,stat.savePctRank,stat.shootingPctRank
1,2016,82.0,28,40,14,70,42.7,2.195,2.939,0.7651,17.5,44.0,53.0,251.0,79.6,27.7927,31.3659,0.463,0.22,0.44,0.704,0.481,0.275,4920.0,2422.0,2498.0,49.2,7.9,0.906,1.0,New Jersey Devils,/api/v1/teams/1,,,
1,2016,,29th,27th,3rd,27th,27th,28th,24th,29th,22nd,20th,26th,12th,23rd,29th,21st,26th,30th,30th,29th,17th,17th,16th,19th,19th,18th,,,1.0,New Jersey Devils,/api/v1/teams/1,23rd,22nd,26th
2,2016,82.0,41,29,12,94,57.3,2.915,2.902,1.0471,15.0,35.0,41.0,234.0,81.9,30.2439,31.9024,0.614,0.368,0.724,0.857,0.559,0.452,4741.0,2261.0,2480.0,47.7,9.6,0.909,2.0,New York Islanders,/api/v1/teams/2,,,
2,2016,,16th,14th,6th,15th,15th,10th,23rd,14th,28th,28th,9th,22nd,11th,16th,26th,16th,17th,18th,16th,9th,9th,28th,29th,16th,26th,,,2.0,New York Islanders,/api/v1/teams/2,9th,17th,10th
3,2016,82.0,48,28,6,102,62.2,3.085,2.634,1.0844,20.2,47.0,45.0,233.0,79.8,29.7317,30.061,0.667,0.486,0.741,0.871,0.463,0.7,4864.0,2353.0,2511.0,48.4,10.4,0.912,3.0,New York Rangers,/api/v1/teams/3,,,
3,2016,,6th,10th,28th,9th,9th,4th,12th,12th,11th,15th,14th,24th,19th,22nd,14th,12th,4th,16th,10th,19th,19th,22nd,26th,21st,22nd,,,3.0,New York Rangers,/api/v1/teams/3,7th,12th,3rd
4,2016,82.0,39,33,10,88,53.7,2.585,2.817,0.8312,19.5,54.0,50.0,277.0,79.8,31.5244,28.4634,0.588,0.396,0.8,0.826,0.46,0.5,4857.0,2539.0,2318.0,52.3,8.2,0.901,4.0,Philadelphia Flyers,/api/v1/teams/4,,,
4,2016,,20th,20th,14th,19th,19th,20th,19th,24th,14th,7th,21st,1st,21st,5th,7th,25th,3rd,7th,20th,20th,20th,24th,8th,4th,5th,,,4.0,Philadelphia Flyers,/api/v1/teams/4,16th,26th,24th
5,2016,82.0,50,21,11,111,67.7,3.39,2.793,1.2333,23.1,60.0,52.0,260.0,79.8,33.4756,32.5732,0.638,0.571,0.778,0.949,0.705,0.529,5154.0,2452.0,2702.0,47.6,10.1,0.914,5.0,Pittsburgh Penguins,/api/v1/teams/5,,,
5,2016,,2nd,2nd,9th,2nd,2nd,1st,17th,4th,4th,2nd,23rd,5th,20th,1st,27th,11th,1st,9th,3rd,1st,1st,1st,14th,30th,28th,,,5.0,Pittsburgh Penguins,/api/v1/teams/5,20th,10th,4th
6,2016,82.0,44,31,7,95,57.9,2.829,2.549,0.966,21.7,53.0,38.0,244.0,85.7,33.1829,26.7561,0.696,0.333,0.742,0.944,0.508,0.619,5045.0,2686.0,2359.0,53.2,8.5,0.905,6.0,Boston Bruins,/api/v1/teams/6,,,
6,2016,,14th,17th,26th,14th,14th,13th,9th,17th,7th,8th,4th,17th,1st,2nd,2nd,8th,21st,15th,4th,12th,12th,5th,2nd,7th,3rd,,,6.0,Boston Bruins,/api/v1/teams/6,25th,24th,19th
7,2016,82.0,33,37,12,78,47.6,2.427,2.817,0.8077,24.5,57.0,53.0,233.0,77.6,30.378,34.3049,0.512,0.293,0.536,0.741,0.333,0.434,4929.0,2445.0,2484.0,49.6,8.0,0.918,7.0,Buffalo Sabres,/api/v1/teams/7,,,
7,2016,,26th,26th,8th,26th,26th,25th,21st,26th,1st,5th,25th,25th,25th,15th,30th,23rd,22nd,28th,27th,28th,28th,15th,15th,18th,17th,,,7.0,Buffalo Sabres,/api/v1/teams/7,11th,5th,25th
8,2016,82.0,47,26,9,103,62.8,2.72,2.415,1.1938,19.6,45.0,47.0,229.0,81.1,29.9878,29.622,0.75,0.368,0.808,0.867,0.641,0.55,4999.0,2516.0,2483.0,50.3,9.1,0.918,8.0,Montréal Canadiens,/api/v1/teams/8,,,
8,2016,,8th,8th,18th,8th,8th,15th,4th,6th,13th,18th,18th,27th,14th,18th,11th,7th,16th,6th,13th,4th,4th,8th,12th,17th,12th,,,8.0,Montréal Canadiens,/api/v1/teams/8,17th,4th,16th
9,2016,82.0,44,28,10,98,59.8,2.512,2.561,0.9574,17.0,43.0,50.0,253.0,79.7,30.0366,30.0854,0.763,0.341,0.75,0.879,0.425,0.649,5001.0,2549.0,2452.0,51.0,8.4,0.915,9.0,Ottawa Senators,/api/v1/teams/9,,,
9,2016,,13th,11th,12th,12th,12th,22nd,10th,19th,23rd,21st,20th,9th,22nd,17th,15th,13th,12th,14th,9th,22nd,22nd,7th,7th,12th,10th,,,9.0,Ottawa Senators,/api/v1/teams/9,14th,8th,22nd
10,2016,82.0,40,27,15,95,57.9,3.049,2.854,1.0497,23.8,58.0,44.0,244.0,82.5,31.9146,32.5976,0.644,0.297,0.714,0.756,0.406,0.542,5061.0,2524.0,2537.0,49.9,9.6,0.912,10.0,Toronto Maple Leafs,/api/v1/teams/10,,,
10,2016,,18th,9th,1st,13th,13th,5th,22nd,13th,2nd,3rd,13th,16th,10th,4th,28th,14th,24th,20th,25th,24th,24th,3rd,10th,23rd,15th,,,10.0,Toronto Maple Leafs,/api/v1/teams/10,19th,11th,9th
12,2016,82.0,36,31,15,87,53.0,2.585,2.805,0.848,17.8,41.0,32.0,231.0,84.2,30.4024,28.2927,0.529,0.375,0.593,0.714,0.38,0.5,4581.0,2431.0,2150.0,53.1,8.5,0.901,12.0,Carolina Hurricanes,/api/v1/teams/12,,,
12,2016,,22nd,18th,2nd,20th,20th,21st,18th,23rd,21st,25th,1st,26th,6th,14th,5th,27th,6th,26th,28th,25th,25th,30th,18th,1st,4th,,,12.0,Carolina Hurricanes,/api/v1/teams/12,1st,27th,20th
13,2016,82.0,35,36,11,81,49.4,2.5,2.817,0.8125,17.0,45.0,36.0,265.0,85.3,32.2439,31.6463,0.595,0.25,0.607,0.828,0.488,0.417,4974.0,2384.0,2590.0,47.9,7.8,0.911,13.0,Florida Panthers,/api/v1/teams/13,,,
13,2016,,23rd,23rd,10th,23rd,23rd,23rd,20th,25th,24th,19th,2nd,3rd,2nd,3rd,23rd,19th,25th,25th,19th,16th,16th,10th,23rd,26th,25th,,,13.0,Florida Panthers,/api/v1/teams/13,13th,15th,28th
14,2016,82.0,42,30,10,94,57.3,2.805,2.732,0.9724,22.8,62.0,48.0,272.0,81.4,29.9024,30.3902,0.667,0.408,0.826,0.871,0.457,0.55,4985.0,2376.0,2609.0,47.7,9.4,0.91,14.0,Tampa Bay Lightning,/api/v1/teams/14,,,
14,2016,,15th,16th,13th,17th,17th,14th,16th,16th,6th,1st,19th,2nd,13th,20th,18th,21st,2nd,2nd,11th,21st,21st,9th,24th,28th,27th,,,14.0,Tampa Bay Lightning,/api/v1/teams/14,21st,16th,12th
15,2016,82.0,55,19,8,118,72.0,3.183,2.159,1.5752,23.1,57.0,44.0,247.0,83.8,30.4268,27.8293,0.793,0.375,0.81,0.953,0.694,0.655,4785.0,2385.0,2400.0,49.8,10.5,0.922,15.0,Washington Capitals,/api/v1/teams/15,,,
15,2016,,1st,1st,20th,1st,1st,3rd,1st,1st,3rd,4th,12th,13th,7th,13th,4th,1st,27th,5th,2nd,3rd,3rd,26th,22nd,8th,16th,,,15.0,Washington Capitals,/api/v1/teams/15,26th,2nd,1st
16,2016,82.0,50,23,9,109,66.5,2.927,2.585,1.2029,18.0,42.0,47.0,233.0,77.7,30.5854,31.3902,0.74,0.406,0.788,0.857,0.553,0.659,4710.0,2236.0,2474.0,47.5,9.6,0.918,16.0,Chicago Blackhawks,/api/v1/teams/16,,,
16,2016,,3rd,3rd,16th,3rd,3rd,9th,11th,5th,19th,22nd,17th,23rd,24th,11th,22nd,2nd,18th,8th,15th,10th,10th,29th,30th,14th,29th,,,16.0,Chicago Blackhawks,/api/v1/teams/16,2nd,6th,8th
17,2016,82.0,33,36,13,79,48.2,2.415,2.976,0.8889,15.1,38.0,45.0,252.0,80.8,28.4756,30.5732,0.5,0.326,0.591,0.741,0.414,0.388,4858.0,2520.0,2338.0,51.9,8.5,0.903,17.0,Detroit Red Wings,/api/v1/teams/17,,,
17,2016,,25th,24th,5th,24th,24th,26th,26th,22nd,27th,26th,15th,10th,16th,25th,19th,28th,14th,27th,26th,23rd,23rd,23rd,11th,5th,7th,,,17.0,Detroit Red Wings,/api/v1/teams/17,10th,25th,21st
18,2016,82.0,41,29,12,94,57.3,2.902,2.683,1.1268,18.9,49.0,46.0,259.0,80.9,31.1829,30.1463,0.676,0.356,0.682,0.784,0.489,0.471,5052.0,2599.0,2453.0,51.4,9.3,0.911,18.0,Nashville Predators,/api/v1/teams/18,,,
18,2016,,17th,15th,7th,16th,16th,11th,15th,9th,16th,11th,16th,6th,15th,6th,16th,17th,9th,22nd,24th,15th,15th,4th,4th,13th,8th,,,18.0,Nashville Predators,/api/v1/teams/18,12th,14th,13th
19,2016,82.0,46,29,7,99,60.4,2.841,2.634,1.1232,21.3,50.0,40.0,235.0,84.8,28.4146,28.378,0.689,0.405,0.769,0.879,0.7,0.378,4849.0,2438.0,2411.0,50.3,10.0,0.907,19.0,St. Louis Blues,/api/v1/teams/19,,,
19,2016,,11th,13th,25th,11th,11th,12th,13th,11th,8th,10th,7th,20th,3rd,26th,6th,10th,11th,10th,8th,2nd,2nd,25th,16th,9th,13th,,,19.0,St. Louis Blues,/api/v1/teams/19,24th,20th,5th
20,2016,82.0,45,33,4,94,57.3,2.707,2.671,0.9792,20.2,52.0,51.0,257.0,81.6,29.122,28.7073,0.711,0.409,0.821,0.971,0.564,0.513,4970.0,2432.0,2538.0,48.9,9.3,0.907,20.0,Calgary Flames,/api/v1/teams/20,,,
20,2016,,12th,19th,29th,18th,18th,16th,14th,15th,10th,9th,22nd,7th,12th,24th,8th,15th,5th,3rd,1st,8th,8th,11th,17th,24th,19th,,,20.0,Calgary Flames,/api/v1/teams/20,29th,21st,14th
21,2016,82.0,22,56,4,48,29.3,2.012,3.366,0.5876,12.6,30.0,64.0,239.0,76.6,28.0854,31.7439,0.5,0.172,0.5,0.579,0.31,0.22,4907.0,2631.0,2276.0,53.6,7.2,0.894,21.0,Colorado Avalanche,/api/v1/teams/21,,,
21,2016,,30th,30th,30th,30th,30th,30th,30th,30th,30th,30th,29th,19th,29th,27th,24th,30th,26th,29th,30th,30th,30th,19th,3rd,3rd,2nd,,,21.0,Colorado Avalanche,/api/v1/teams/21,27th,29th,30th
22,2016,82.0,47,26,9,103,62.8,2.963,2.524,1.1857,22.9,56.0,43.0,245.0,80.7,31.061,29.4634,0.756,0.39,0.75,0.906,0.489,0.676,4894.0,2302.0,2592.0,47.0,9.5,0.914,22.0,Edmonton Oilers,/api/v1/teams/22,,,
22,2016,,7th,7th,17th,7th,7th,8th,8th,7th,5th,6th,11th,15th,17th,8th,9th,9th,8th,13th,5th,14th,14th,20th,27th,27th,30th,,,22.0,Edmonton Oilers,/api/v1/teams/22,6th,9th,11th
23,2016,82.0,30,43,9,69,42.1,2.171,2.939,0.805,14.1,32.0,52.0,227.0,76.7,27.7195,31.7683,0.586,0.245,0.667,0.81,0.333,0.4,4960.0,2537.0,2423.0,51.1,7.8,0.907,23.0,Vancouver Canucks,/api/v1/teams/23,,,
23,2016,,28th,29th,19th,29th,29th,29th,25th,27th,29th,29th,24th,28th,28th,30th,25th,29th,20th,23rd,22nd,29th,29th,12th,9th,10th,9th,,,23.0,Vancouver Canucks,/api/v1/teams/23,8th,19th,29th
24,2016,82.0,46,23,13,105,64.0,2.683,2.402,1.1328,18.7,47.0,43.0,251.0,84.7,29.5732,29.622,0.733,0.351,0.719,0.892,0.564,0.6,4913.0,2687.0,2226.0,54.7,9.1,0.919,24.0,Anaheim Ducks,/api/v1/teams/24,,,
24,2016,,9th,4th,4th,6th,6th,18th,3rd,8th,17th,14th,10th,11th,4th,23rd,10th,6th,19th,19th,7th,7th,7th,17th,1st,2nd,1st,,,24.0,Anaheim Ducks,/api/v1/teams/24,30th,3rd,15th
25,2016,82.0,34,37,11,79,48.2,2.707,3.171,0.9613,17.9,46.0,65.0,257.0,73.9,30.5488,29.7439,0.676,0.2,0.714,0.786,0.333,0.5,5111.0,2551.0,2560.0,49.9,8.9,0.893,25.0,Dallas Stars,/api/v1/teams/25,,,
25,2016,,24th,25th,11th,25th,25th,17th,29th,18th,20th,17th,30th,8th,30th,12th,12th,20th,28th,21st,23rd,27th,27th,2nd,5th,25th,14th,,,25.0,Dallas Stars,/api/v1/teams/25,18th,30th,18th
26,2016,82.0,39,35,8,86,52.4,2.427,2.451,0.9556,19.1,46.0,38.0,241.0,84.5,31.1341,25.8537,0.677,0.353,0.765,0.864,0.5,0.421,4948.0,2512.0,2436.0,50.8,7.8,0.905,26.0,Los Angeles Kings,/api/v1/teams/26,,,
26,2016,,21st,22nd,23rd,22nd,22nd,24th,6th,20th,15th,16th,5th,18th,5th,7th,1st,22nd,7th,11th,14th,13th,13th,13th,13th,11th,11th,,,26.0,Los Angeles Kings,/api/v1/teams/26,15th,23rd,27th
28,2016,82.0,46,29,7,99,60.4,2.671,2.439,1.1259,16.7,41.0,41.0,246.0,80.7,29.9146,27.6707,0.745,0.314,0.867,0.868,0.524,0.579,4776.0,2299.0,2477.0,48.1,8.9,0.912,28.0,San Jose Sharks,/api/v1/teams/28,,,
28,2016,,10th,12th,24th,10th,10th,19th,5th,10th,25th,24th,8th,14th,18th,19th,3rd,5th,23rd,1st,12th,11th,11th,27th,28th,15th,23rd,,,28.0,San Jose Sharks,/api/v1/teams/28,3rd,13th,17th
29,2016,82.0,50,24,8,108,65.9,3.012,2.354,1.2632,19.9,42.0,39.0,211.0,82.5,30.9756,30.3537,0.7,0.469,0.757,0.892,0.581,0.629,4939.0,2402.0,2537.0,48.6,9.7,0.922,29.0,Columbus Blue Jackets,/api/v1/teams/29,,,
29,2016,,4th,5th,21st,4th,4th,6th,2nd,3rd,12th,23rd,6th,30th,9th,9th,17th,3rd,10th,12th,6th,6th,6th,14th,21st,22nd,20th,,,29.0,Columbus Blue Jackets,/api/v1/teams/29,5th,1st,7th
30,2016,82.0,49,25,8,106,64.6,3.207,2.512,1.2635,21.0,47.0,37.0,224.0,83.0,30.8171,30.061,0.729,0.412,0.818,0.846,0.634,0.579,4909.0,2550.0,2359.0,52.0,10.4,0.916,30.0,Minnesota Wild,/api/v1/teams/30,,,
30,2016,,5th,6th,22nd,5th,5th,2nd,7th,2nd,9th,13th,3rd,29th,8th,10th,13th,4th,15th,4th,18th,5th,5th,18th,6th,6th,6th,,,30.0,Minnesota Wild,/api/v1/teams/30,4th,7th,2nd
52,2016,82.0,40,35,7,87,53.0,3.0,3.11,0.9401,18.2,48.0,62.0,264.0,77.5,29.8537,31.0488,0.625,0.357,0.654,0.852,0.474,0.488,4873.0,2364.0,2509.0,48.5,10.0,0.9,52.0,Winnipeg Jets,/api/v1/teams/52,,,
52,2016,,19th,21st,27th,21st,21st,7th,27th,21st,18th,12th,28th,4th,26th,21st,20th,18th,13th,24th,17th,18th,18th,21st,25th,20th,21st,,,52.0,Winnipeg Jets,/api/v1/teams/52,28th,28th,6th
53,2016,82.0,30,42,10,70,42.7,2.329,3.146,0.7917,16.2,38.0,59.0,235.0,77.3,27.8171,34.1098,0.525,0.214,0.727,0.826,0.353,0.375,5025.0,2412.0,2613.0,48.0,8.4,0.908,53.0,Arizona Coyotes,/api/v1/teams/53,,,
53,2016,,27th,28th,15th,28th,28th,27th,28th,28th,26th,27th,27th,21st,27th,28th,29th,24th,29th,17th,21st,26th,26th,6th,20th,29th,24th,,,53.0,Arizona Coyotes,/api/v1/teams/53,22nd,18th,23rd
