stat.gamesPlayed,stat.wins,stat.losses,stat.ot,stat.pts,stat.ptPctg,stat.goalsPerGame,stat.goalsAgainstPerGame,stat.evGGARatio,stat.powerPlayPercentage,stat.powerPlayGoals,stat.powerPlayGoalsAgainst,stat.powerPlayOpportunities,stat.penaltyKillPercentage,stat.shotsPerGame,stat.shotsAllowed,stat.winScoreFirst,stat.winOppScoreFirst,stat.winLeadFirstPer,stat.winLeadSecondPer,stat.winOutshootOpp,stat.winOutshotByOpp,stat.faceOffsTaken,stat.faceOffsWon,stat.faceOffsLost,stat.faceOffWinPercentage,stat.shootingPctg,stat.savePctg,team.id,team.name,team.link,stat.penaltyKillOpportunities,stat.savePctRank,stat.shootingPctRank
56.0,35,14,7,77,68.8,3.321,2.643,1.375,20.0,31.0,31.0,155.0,78.5,31.2679,27.8214,0.735,0.455,0.692,0.8,0.559,0.75,2981.0,1523.0,1458.0,51.1,10.6,0.905,10,Toronto Maple Leafs,/api/v1/teams/10,,,
,8th,5th,9th,5th,5th,6th,7th,3rd,16th,19th,13th,20th,24th,6th,5th,4th,13th,24th,24th,13th,13th,27th,18th,3rd,10th,,,10,Toronto Maple Leafs,/api/v1/teams/10,5th,15th,6th
