stat.gamesPlayed,stat.wins,stat.losses,stat.ot,stat.pts,stat.ptPctg,stat.goalsPerGame,stat.goalsAgainstPerGame,stat.evGGARatio,stat.powerPlayPercentage,stat.powerPlayGoals,stat.powerPlayGoalsAgainst,stat.powerPlayOpportunities,stat.penaltyKillPercentage,stat.shotsPerGame,stat.shotsAllowed,stat.winScoreFirst,stat.winOppScoreFirst,stat.winLeadFirstPer,stat.winLeadSecondPer,stat.winOutshootOpp,stat.winOutshotByOpp,stat.faceOffsTaken,stat.faceOffsWon,stat.faceOffsLost,stat.faceOffWinPercentage,stat.shootingPctg,stat.savePctg,team.id,team.name,team.link,stat.penaltyKillOpportunities,stat.savePctRank,stat.shootingPctRank
82.0,50,21,11,111,67.7,3.3902,2.682927,1.2958,26.0,64.0,45.0,246.0,81.8,32.0488,29.5122,0.717,0.472,0.774,0.841,0.625,0.576,4415.0,2344.0,2071.0,53.1,10.6,0.909,10,Toronto Maple Leafs,/api/v1/teams/10,,,
,6th,3rd,8th,4th,4th,9th,7th,3rd,2nd,5th,11th,18th,12th,12th,7th,6th,4th,16th,20th,7th,7th,32nd,16th,1st,4th,,,10,Toronto Maple Leafs,/api/v1/teams/10,16th,10th,9th
