team_id,season,stat.gamesPlayed,stat.wins,stat.losses,stat.ot,stat.pts,stat.ptPctg,stat.goalsPerGame,stat.goalsAgainstPerGame,stat.evGGARatio,stat.powerPlayPercentage,stat.powerPlayGoals,stat.powerPlayGoalsAgainst,stat.powerPlayOpportunities,stat.penaltyKillPercentage,stat.shotsPerGame,stat.shotsAllowed,stat.winScoreFirst,stat.winOppScoreFirst,stat.winLeadFirstPer,stat.winLeadSecondPer,stat.winOutshootOpp,stat.winOutshotByOpp,stat.faceOffsTaken,stat.faceOffsWon,stat.faceOffsLost,stat.faceOffWinPercentage,stat.shootingPctg,stat.savePctg,team.id,team.name,team.link,stat.penaltyKillOpportunities,stat.savePctRank,stat.shootingPctRank
1,2019,69.0,28,29,12,68,49.3,2.681,3.246,0.7821,17.9,42.0,39.0,234.0,82.3,30.6812,32.6957,0.484,0.342,0.5,0.704,0.417,0.381,3990.0,1869.0,2121.0,46.8,8.7,0.901,1.0,New Jersey Devils,/api/v1/teams/1,,,
1,2019,,29th,23rd,3rd,25th,25th,24th,29th,29th,21st,18th,14th,3rd,7th,22nd,26th,29th,10th,30th,28th,24th,24th,16th,27th,30th,29th,,,1.0,New Jersey Devils,/api/v1/teams/1,24th,20th,22nd
2,2019,68.0,35,23,10,80,58.8,2.779,2.794,0.9474,17.3,29.0,34.0,168.0,80.7,29.6471,31.2206,0.639,0.375,0.714,0.885,0.481,0.55,3617.0,1803.0,1814.0,49.9,9.4,0.911,2.0,New York Islanders,/api/v1/teams/2,,,
2,2019,,17th,9th,6th,14th,11th,22nd,9th,23rd,24th,30th,6th,31st,15th,28th,15th,19th,15th,21st,11th,14th,14th,31st,29th,2nd,18th,,,2.0,New York Islanders,/api/v1/teams/2,3rd,8th,17th
3,2019,70.0,37,28,5,79,56.4,3.329,3.143,1.049,22.9,52.0,52.0,227.0,77.4,31.0714,34.0143,0.625,0.4,0.741,0.889,0.444,0.585,3862.0,1799.0,2063.0,46.6,10.7,0.908,3.0,New York Rangers,/api/v1/teams/3,,,
3,2019,,13th,21st,29th,17th,19th,5th,23rd,10th,7th,4th,29th,4th,23rd,20th,30th,12th,16th,17th,8th,19th,19th,28th,30th,23rd,30th,,,3.0,New York Rangers,/api/v1/teams/3,27th,11th,3rd
4,2019,69.0,41,21,7,89,64.5,3.29,2.768,1.1333,20.8,47.0,38.0,226.0,81.8,31.3913,28.6522,0.718,0.433,0.85,0.935,0.537,0.654,3954.0,2159.0,1795.0,54.6,10.5,0.903,4.0,Philadelphia Flyers,/api/v1/teams/4,,,
4,2019,,6th,6th,20th,6th,6th,7th,7th,5th,14th,7th,10th,6th,11th,16th,1st,5th,8th,6th,5th,11th,11th,22nd,2nd,1st,1st,,,4.0,Philadelphia Flyers,/api/v1/teams/4,15th,16th,6th
5,2019,69.0,40,23,6,86,62.3,3.203,2.841,1.1014,19.9,42.0,34.0,211.0,82.1,31.942,29.7246,0.781,0.405,0.826,0.862,0.55,0.625,3974.0,1942.0,2032.0,48.9,10.0,0.904,5.0,Pittsburgh Penguins,/api/v1/teams/5,,,
5,2019,,7th,8th,24th,8th,7th,10th,12th,9th,16th,15th,5th,14th,10th,12th,6th,11th,4th,8th,14th,10th,10th,18th,24th,21st,25th,,,5.0,Pittsburgh Penguins,/api/v1/teams/5,6th,15th,13th
6,2019,70.0,44,14,12,100,71.4,3.243,2.386,1.3429,25.2,57.0,34.0,226.0,84.3,32.1,30.0429,0.634,0.621,0.75,0.8,0.61,0.654,3971.0,2024.0,1947.0,51.0,10.1,0.921,6.0,Boston Bruins,/api/v1/teams/6,,,
6,2019,,1st,1st,2nd,1st,1st,9th,1st,2nd,2nd,2nd,4th,5th,3rd,10th,8th,7th,1st,15th,25th,3rd,3rd,19th,14th,6th,7th,,,6.0,Boston Bruins,/api/v1/teams/6,22nd,1st,11th
7,2019,69.0,30,31,8,68,49.3,2.797,3.116,0.9701,18.9,37.0,47.0,196.0,74.6,29.2899,31.1304,0.629,0.235,0.684,0.958,0.387,0.472,3788.0,1737.0,2051.0,45.9,9.5,0.9,7.0,Buffalo Sabres,/api/v1/teams/7,,,
7,2019,,25th,26th,19th,26th,26th,21st,22nd,22nd,20th,22nd,25th,22nd,30th,30th,14th,23rd,28th,24th,4th,26th,26th,30th,31st,22nd,31st,,,7.0,Buffalo Sabres,/api/v1/teams/7,4th,24th,16th
8,2019,71.0,31,31,9,71,50.0,2.93,3.099,1.0352,17.7,33.0,45.0,186.0,78.7,34.1127,31.0986,0.553,0.303,0.6,0.667,0.465,0.4,4249.0,2143.0,2106.0,50.4,8.6,0.9,8.0,Montréal Canadiens,/api/v1/teams/8,,,
8,2019,,24th,25th,9th,24th,24th,19th,19th,13th,22nd,24th,23rd,29th,19th,2nd,13th,24th,21st,28th,30th,17th,17th,1st,3rd,28th,12th,,,8.0,Montréal Canadiens,/api/v1/teams/8,17th,22nd,25th
9,2019,71.0,25,34,12,62,43.7,2.676,3.352,0.8217,14.2,30.0,55.0,211.0,76.1,30.6197,33.5775,0.519,0.25,0.632,0.85,0.435,0.349,4242.0,2132.0,2110.0,50.3,8.7,0.9,9.0,Ottawa Senators,/api/v1/teams/9,,,
9,2019,,30th,28th,4th,30th,30th,25th,30th,28th,31st,29th,30th,16th,28th,24th,29th,30th,20th,27th,19th,20th,20th,2nd,5th,29th,14th,,,9.0,Ottawa Senators,/api/v1/teams/9,28th,23rd,23rd
10,2019,70.0,36,25,9,81,57.9,3.386,3.171,1.0127,23.1,45.0,43.0,195.0,77.7,32.8857,31.9,0.774,0.308,0.81,0.857,0.588,0.438,3924.0,2060.0,1864.0,52.5,10.3,0.901,10.0,Toronto Maple Leafs,/api/v1/teams/10,,,
10,2019,,14th,14th,8th,12th,14th,3rd,26th,17th,6th,11th,20th,23rd,21st,6th,19th,15th,14th,11th,16th,6th,6th,26th,9th,4th,3rd,,,10.0,Toronto Maple Leafs,/api/v1/teams/10,8th,21st,9th
12,2019,68.0,38,25,5,81,59.6,3.191,2.838,1.0368,22.3,46.0,39.0,206.0,84.0,33.25,29.3235,0.839,0.324,0.95,0.963,0.487,0.643,4072.0,2058.0,2014.0,50.5,9.6,0.903,12.0,Carolina Hurricanes,/api/v1/teams/12,,,
12,2019,,9th,13th,28th,13th,9th,11th,11th,12th,8th,9th,12th,17th,4th,3rd,2nd,9th,13th,1st,1st,13th,13th,8th,10th,19th,9th,,,12.0,Carolina Hurricanes,/api/v1/teams/12,31st,17th,14th
13,2019,69.0,35,26,8,78,56.5,3.304,3.246,1.026,21.3,45.0,40.0,211.0,78.5,32.6522,32.2754,0.743,0.265,0.8,0.963,0.429,0.594,4005.0,2014.0,1991.0,50.3,10.1,0.899,13.0,Florida Panthers,/api/v1/teams/13,,,
13,2019,,18th,15th,15th,18th,15th,6th,28th,14th,10th,12th,15th,15th,20th,7th,22nd,10th,23rd,12th,2nd,22nd,22nd,13th,16th,14th,13th,,,13.0,Florida Panthers,/api/v1/teams/13,5th,27th,12th
14,2019,70.0,43,21,6,92,65.7,3.471,2.771,1.3279,23.1,49.0,43.0,212.0,81.4,31.0857,30.9286,0.732,0.448,0.821,0.861,0.581,0.611,4032.0,2037.0,1995.0,50.5,11.2,0.91,14.0,Tampa Bay Lightning,/api/v1/teams/14,,,
14,2019,,2nd,5th,23rd,4th,4th,1st,8th,3rd,5th,6th,19th,13th,14th,19th,12th,2nd,7th,9th,15th,7th,7th,9th,11th,15th,11th,,,14.0,Tampa Bay Lightning,/api/v1/teams/14,29th,9th,1st
15,2019,69.0,41,20,8,90,65.2,3.42,3.072,1.1056,19.4,42.0,42.0,216.0,82.6,31.971,30.2029,0.727,0.472,0.87,0.844,0.625,0.571,4121.0,1991.0,2130.0,48.3,10.7,0.898,15.0,Washington Capitals,/api/v1/teams/15,,,
15,2019,,5th,4th,12th,5th,5th,2nd,18th,8th,17th,13th,17th,9th,6th,11th,9th,13th,2nd,3rd,20th,2nd,2nd,4th,17th,31st,28th,,,15.0,Washington Capitals,/api/v1/teams/15,30th,28th,2nd
16,2019,70.0,32,30,8,72,51.4,2.971,3.057,1.0,15.2,33.0,37.0,217.0,82.1,31.8143,35.1143,0.625,0.316,0.731,0.786,0.478,0.467,3933.0,1964.0,1969.0,49.9,9.3,0.913,16.0,Chicago Blackhawks,/api/v1/teams/16,,,
16,2019,,23rd,24th,18th,23rd,23rd,18th,17th,18th,28th,23rd,9th,8th,9th,13th,31st,27th,19th,20th,26th,15th,15th,24th,20th,12th,17th,,,16.0,Chicago Blackhawks,/api/v1/teams/16,14th,6th,19th
17,2019,71.0,17,49,5,39,27.5,2.0,3.732,0.5444,14.9,32.0,58.0,215.0,74.3,27.0986,32.8028,0.367,0.146,0.474,0.6,0.333,0.204,3960.0,1959.0,2001.0,49.5,7.4,0.886,17.0,Detroit Red Wings,/api/v1/teams/17,,,
17,2019,,31st,31st,31st,31st,31st,31st,31st,31st,29th,27th,31st,11th,31st,31st,27th,31st,31st,31st,31st,30th,30th,21st,21st,17th,20th,,,17.0,Detroit Red Wings,/api/v1/teams/17,26th,31st,31st
18,2019,69.0,35,26,8,78,56.5,3.072,3.101,1.1176,17.3,39.0,51.0,226.0,76.1,33.1449,31.2609,0.73,0.25,0.8,0.815,0.474,0.567,4085.0,2135.0,1950.0,52.3,9.3,0.901,18.0,Nashville Predators,/api/v1/teams/18,,,
18,2019,,19th,16th,16th,19th,16th,16th,21st,6th,25th,21st,28th,7th,29th,5th,16th,6th,27th,13th,22nd,16th,16th,7th,4th,10th,4th,,,18.0,Nashville Predators,/api/v1/teams/18,18th,19th,18th
19,2019,71.0,42,19,10,94,66.2,3.141,2.676,1.2521,24.3,49.0,42.0,202.0,79.3,30.6901,29.5775,0.75,0.387,0.654,0.818,0.6,0.559,4020.0,2073.0,1947.0,51.6,10.2,0.91,19.0,St. Louis Blues,/api/v1/teams/19,,,
19,2019,,3rd,2nd,5th,2nd,2nd,14th,5th,4th,3rd,5th,16th,19th,18th,21st,4th,1st,11th,26th,21st,4th,4th,10th,7th,7th,6th,,,19.0,St. Louis Blues,/api/v1/teams/19,12th,10th,10th
20,2019,70.0,36,27,7,79,56.4,2.914,3.057,0.9178,21.2,41.0,35.0,193.0,82.1,31.6,32.4429,0.667,0.4,0.857,0.852,0.5,0.485,4120.0,2022.0,2098.0,49.1,9.2,0.906,20.0,Calgary Flames,/api/v1/teams/20,,,
20,2019,,15th,17th,21st,16th,18th,20th,16th,24th,12th,19th,8th,24th,8th,15th,24th,26th,3rd,5th,17th,12th,12th,5th,15th,26th,22nd,,,20.0,Calgary Flames,/api/v1/teams/20,9th,13th,20th
21,2019,70.0,42,20,8,92,65.7,3.371,2.714,1.4087,19.1,46.0,39.0,241.0,81.4,32.2429,31.3286,0.698,0.444,0.731,0.85,0.559,0.636,4095.0,2031.0,2064.0,49.6,10.5,0.913,21.0,Colorado Avalanche,/api/v1/teams/21,,,
21,2019,,4th,3rd,11th,3rd,3rd,4th,6th,1st,19th,8th,11th,1st,13th,9th,17th,3rd,12th,19th,18th,9th,9th,6th,12th,24th,19th,,,21.0,Colorado Avalanche,/api/v1/teams/21,16th,4th,5th
22,2019,71.0,37,25,9,83,58.5,3.141,3.028,0.8987,29.5,59.0,31.0,200.0,84.4,29.5775,32.0282,0.744,0.25,0.815,0.897,0.429,0.564,3930.0,1925.0,2005.0,49.0,10.6,0.905,22.0,Edmonton Oilers,/api/v1/teams/22,,,
22,2019,,10th,12th,7th,9th,12th,15th,15th,25th,1st,1st,1st,20th,2nd,29th,20th,4th,26th,10th,7th,21st,21st,25th,25th,18th,23rd,,,22.0,Edmonton Oilers,/api/v1/teams/22,11th,14th,4th
23,2019,69.0,36,27,6,78,56.5,3.246,3.101,0.9724,24.1,57.0,42.0,236.0,80.5,31.2029,33.2899,0.774,0.316,0.75,0.885,0.371,0.667,4008.0,2166.0,1842.0,54.0,10.4,0.907,23.0,Vancouver Canucks,/api/v1/teams/23,,,
23,2019,,16th,18th,26th,20th,17th,8th,20th,20th,4th,3rd,18th,2nd,16th,18th,28th,16th,17th,16th,12th,28th,28th,12th,1st,3rd,2nd,,,23.0,Vancouver Canucks,/api/v1/teams/23,21st,12th,8th
24,2019,71.0,29,33,9,67,47.2,2.563,3.169,0.8784,14.7,27.0,49.0,184.0,77.0,29.662,32.1408,0.583,0.229,0.9,0.806,0.185,0.585,3940.0,1991.0,1949.0,50.5,8.6,0.901,24.0,Anaheim Ducks,/api/v1/teams/24,,,
24,2019,,26th,27th,10th,27th,27th,29th,25th,26th,30th,31st,26th,30th,26th,27th,21st,25th,29th,2nd,24th,31st,31st,23rd,18th,8th,10th,,,24.0,Anaheim Ducks,/api/v1/teams/24,19th,18th,26th
25,2019,69.0,37,24,8,82,59.4,2.58,2.522,0.9818,21.1,42.0,44.0,199.0,79.7,30.6232,31.5507,0.719,0.378,0.85,0.885,0.581,0.485,3994.0,2070.0,1924.0,51.8,8.4,0.92,25.0,Dallas Stars,/api/v1/teams/25,,,
25,2019,,11th,11th,14th,10th,10th,26th,2nd,19th,13th,16th,22nd,21st,17th,23rd,18th,18th,5th,7th,10th,8th,8th,15th,8th,5th,5th,,,25.0,Dallas Stars,/api/v1/teams/25,23rd,2nd,28th
26,2019,70.0,29,35,6,64,45.7,2.529,2.986,0.8429,17.1,33.0,43.0,193.0,77.4,33.2143,29.7,0.59,0.194,0.655,0.9,0.37,0.5,3998.0,2031.0,1967.0,50.8,7.6,0.899,26.0,Los Angeles Kings,/api/v1/teams/26,,,
26,2019,,27th,29th,27th,28th,28th,30th,14th,27th,26th,25th,21st,25th,24th,4th,5th,22nd,30th,25th,6th,29th,29th,14th,13th,11th,8th,,,26.0,Los Angeles Kings,/api/v1/teams/26,7th,26th,30th
28,2019,70.0,29,36,5,63,45.0,2.571,3.214,0.7593,17.5,33.0,32.0,189.0,85.7,30.0143,30.5714,0.625,0.237,0.737,0.87,0.417,0.419,3817.0,1868.0,1949.0,48.9,8.6,0.895,28.0,San Jose Sharks,/api/v1/teams/28,,,
28,2019,,28th,30th,30th,29th,29th,28th,27th,30th,23rd,26th,3rd,28th,1st,26th,10th,28th,25th,18th,13th,25th,25th,29th,28th,9th,24th,,,28.0,San Jose Sharks,/api/v1/teams/28,25th,30th,27th
